title,url,img_url,discount_rate,author,author_link,duration,price
 آموزش داینامیک کردن قالب رزومه با PHP ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AF%D8%A7%DB%8C%D9%86%D8%A7%D9%85%DB%8C%DA%A9-%DA%A9%D8%B1%D8%AF%D9%86-%D9%82%D8%A7%D9%84%D8%A8-%D8%B1%D8%B2%D9%88%D9%85%D9%87-%D8%A8%D8%A7-php,https://toplearn.com/img/course/400x286/آموزش_داینامیک_کردن_قالب_رزومه_با_PHP.jpg,, احمدی ,https://toplearn.com/masters/hah678973, 2:6:00 , اعضای ویژه 
 آموزش ساخت Web APIs با ASP.NET Core ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B3%D8%A7%D8%AE%D8%AA-Web-APIs-%D8%A8%D8%A7-ASPNET-Core,https://toplearn.com/img/course/400x286/آموزش_ساخت_Web_APIs_با_ASP.NET_Core.jpg,50% , مدائنی ,https://toplearn.com/masters/AdminUser, 8:38:00 , اعضای ویژه 
 دوره جامع آموزش Laravel ,https://toplearn.com/courses/web/%D8%AF%D9%88%D8%B1%D9%87-%D8%AC%D8%A7%D9%85%D8%B9-%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Laravel,https://toplearn.com/img/course/400x286/دوره_جامع_آموزش_Laravel.jpg,50% , خسروجردی ,https://toplearn.com/masters/Hsn_khosrojerdi, 113:18:00 , اعضای ویژه 
 آموزش جامع سی پلاس پلاس (++C) ,https://toplearn.com/courses/windows/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D8%A7%D9%85%D8%B9-%D8%B3%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%BE%D9%84%D8%A7%D8%B3-(plusplusC),https://toplearn.com/img/course/400x286/آموزش_جامع_سی_پلاس_پلاس_(plusplusC).jpg,50% , مدائنی ,https://toplearn.com/masters/AdminUser, 7:27:00 , اعضای ویژه 
 آموزش ساخت 25 پروژه با ReactJS ,https://toplearn.com/courses/web-design/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B3%D8%A7%D8%AE%D8%AA-25-%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D8%A8%D8%A7-ReactJS,https://toplearn.com/img/course/400x286/آموزش_ساخت_25_پروژه_با_ReactJS.jpg,55% , معصومی ,https://toplearn.com/masters/farzad_msi16, 25:1:00 , اعضای ویژه 
 آموزش SQL Server 2022 ,https://toplearn.com/courses/databases/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-SQL-Server-2022,https://toplearn.com/img/course/400x286/آموزش_SQL_Server_2022.jpg,50% , مصری ,https://toplearn.com/masters/69moslem, 9:21:00 , اعضای ویژه 
 آموزش برنامه نویسی دارت (Dart) مقدماتی تا پیشرفته ,https://toplearn.com/courses/mobile/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%AF%D8%A7%D8%B1%D8%AA-(Dart)-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C-%D8%AA%D8%A7-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87,https://toplearn.com/img/course/400x286/آموزش_برنامه_نویسی_دارت_(Dart)_مقدماتی_تا_پیشرفته.jpg,50% , عباسی صائب ,https://toplearn.com/masters/abolfazl-abasi, 6:22:00 , اعضای ویژه 
 آموزش ساخت ۱۰ پروژه شی گرایی در جاوا ,https://toplearn.com/courses/windows/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B3%D8%A7%D8%AE%D8%AA-%DB%B1%DB%B0-%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D8%B4%DB%8C-%DA%AF%D8%B1%D8%A7%DB%8C%DB%8C-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7,https://toplearn.com/img/course/400x286/آموزش_ساخت_۱۰_پروژه_شی_گرایی_در_جاوا.jpg,40% , اخلاق پسندی ,https://toplearn.com/masters/yahhajajzjajzz, 15:23:00 , اعضای ویژه 
 آموزش ++C در آنریل انجین ,https://toplearn.com/courses/windows/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-plusplusC-%D8%AF%D8%B1-%D8%A2%D9%86%D8%B1%DB%8C%D9%84-%D8%A7%D9%86%D8%AC%DB%8C%D9%86,https://toplearn.com/img/course/400x286/آموزش_plusplusC_در_آنریل_انجین.jpg,50% , میرشبی بایگی ,https://toplearn.com/masters/sajjadmirshabi, 16:29:00 , اعضای ویژه 
 آموزش ساخت سایت خبری با لاراول به صورت ماژولار ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B3%D8%A7%D8%AE%D8%AA-%D8%B3%D8%A7%DB%8C%D8%AA-%D8%AE%D8%A8%D8%B1%DB%8C-%D8%A8%D8%A7-%D9%84%D8%A7%D8%B1%D8%A7%D9%88%D9%84-%D8%A8%D9%87-%D8%B5%D9%88%D8%B1%D8%AA-%D9%85%D8%A7%DA%98%D9%88%D9%84%D8%A7%D8%B1,https://toplearn.com/img/course/400x286/آموزش_ساخت_سایت_خبری_با_لاراول_به_صورت_ماژولار.jpg,40% , خسروی ,https://toplearn.com/masters/milad16, 15:15:00 , اعضای ویژه 
 آموزش Performance Tuning در Sql Server ,https://toplearn.com/courses/databases/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Performance-Tuning-%D8%AF%D8%B1-Sql-Server,https://toplearn.com/img/course/400x286/آموزش_Performance_Tuning_در_Sql_Server.jpg,70% , رضایی ,https://toplearn.com/masters/ali_rezai, 13:22:00 , اعضای ویژه 
 دوره جامــع آمــوزش PHP ,https://toplearn.com/courses/web/%D8%AF%D9%88%D8%B1%D9%87-%D8%AC%D8%A7%D9%85%D9%80%D9%80%D8%B9-%D8%A2%D9%85%D9%80%D9%80%D9%88%D8%B2%D8%B4-PHP-,https://toplearn.com/img/course/400x286/دوره_جامــع_آمــوزش_PHP.jpg,50% , خسروجردی ,https://toplearn.com/masters/Hsn_khosrojerdi, 51:27:00 , اعضای ویژه 
 آموزش کاربردی گیت و گیت هاب ,https://toplearn.com/courses/operating-system/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%DB%8C-%DA%AF%DB%8C%D8%AA-%D9%88-%DA%AF%DB%8C%D8%AA-%D9%87%D8%A7%D8%A8,https://toplearn.com/img/course/400x286/آموزش_کاربردی_گیت_و_گیت_هاب.jpg,70% , رضایی ,https://toplearn.com/masters/ali_rezai, 4:1:00 ," 105,000 "
 آموزش جامع Canvas در طراحی وب (پروژه محور) ,https://toplearn.com/courses/web-design/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D8%A7%D9%85%D8%B9-canvas-%D8%AF%D8%B1-%D8%B7%D8%B1%D8%A7%D8%AD%DB%8C-%D9%88%D8%A8-%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D9%85%D8%AD%D9%88%D8%B1,https://toplearn.com/img/course/400x286/آموزش_جامع_Canvas_در_طراحی_وب_(پروژه_محور).jpg,, درویش زاده ,https://toplearn.com/masters/rezatoops, 6:14:00 ," 105,000 "
 آموزش SQL Server Database Administrator ,https://toplearn.com/courses/databases/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-SQL-Server-Database-Administrator,https://toplearn.com/img/course/400x286/آموزش_SQL_Server_Database_Administrator.jpg,50% , مصری ,https://toplearn.com/masters/69moslem, 2:46:00 ," 105,000 "
 آموزش سی شارپ در یونیتی مقدماتی تا پیشرفته ,https://toplearn.com/courses/windows/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B3%DB%8C-%D8%B4%D8%A7%D8%B1%D9%BE-%D8%AF%D8%B1-%DB%8C%D9%88%D9%86%DB%8C%D8%AA%DB%8C-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C-%D8%AA%D8%A7-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87,https://toplearn.com/img/course/400x286/آموزش_سی_شارپ_در_یونیتی_مقدماتی_تا_پیشرفته.jpg,50% , شادبخت ,https://toplearn.com/masters/1384erfanshadbakht, 52:45:00 ," 105,000 "
 آموزش صفر تا صد ReactJs ,https://toplearn.com/courses/web-design/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B5%D9%81%D8%B1-%D8%AA%D8%A7-%D8%B5%D8%AF-ReactJs,https://toplearn.com/img/course/400x286/آموزش_صفر_تا_صد_ReactJs.jpg,50% , قربانی ,https://toplearn.com/masters/prixy, 32:54:00 ," 105,000 "
 آموزش ReactJS+Wordpress (پروژه محور) ,https://toplearn.com/courses/web-design/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-ReactJSplusWordpress-(%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D9%85%D8%AD%D9%88%D8%B1),https://toplearn.com/img/course/400x286/آموزش__ReactJSplusWordpress_(پروژه_محور).jpg,50% , صادق زاده ,https://toplearn.com/masters/sm1382, 22:34:00 ," 105,000 "
 آموزش آشنایی با Minimal Api در ASP.NET Core ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A2%D8%B4%D9%86%D8%A7%DB%8C%DB%8C-%D8%A8%D8%A7-Minimal-Api-%D8%AF%D8%B1-ASPNET-Core,https://toplearn.com/img/course/400x286/آموزش_آشنایی_با_Minimal_Api_در_ASP.NET_Core.jpg,, رضازاده ,https://toplearn.com/masters/farhad.fr.1361, 1:30:00 ," 105,000 "
 آموزش پیاده سازی سایت پرسش و پاسخ با Net Core. (مشابه StackOverflow) ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%BE%DB%8C%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AA-%D9%BE%D8%B1%D8%B3%D8%B4-%D9%88-%D9%BE%D8%A7%D8%B3%D8%AE-%D8%A8%D8%A7-Net-Core-(%D9%85%D8%B4%D8%A7%D8%A8%D9%87-StackOverflow),https://toplearn.com/img/course/400x286/آموزش_پیاده_سازی_سایت_پرسش_و_پاسخ_با_Net_Core._(مشابه_StackOverflow).jpg,50% , مهدوی هزاوه ,https://toplearn.com/masters/mhmd7776, 26:53:00 ," 105,000 "
 آموزش تایپ اسکریپت (TypeScript) ,https://toplearn.com/courses/web-design/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AA%D8%A7%DB%8C%D9%BE-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-(TypeScript),https://toplearn.com/img/course/400x286/آموزش_تایپ_اسکریپت_(TypeScript).jpg,50% , مدائنی ,https://toplearn.com/masters/AdminUser, 5:47:00 ," 105,000 "
 پکیج های برنامه نویسی فلاتر ,https://toplearn.com/courses/mobile/%D9%BE%DA%A9%DB%8C%D8%AC-%D9%87%D8%A7%DB%8C-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D9%81%D9%84%D8%A7%D8%AA%D8%B1,https://toplearn.com/img/course/400x286/پکیج_های_برنامه_نویسی_فلاتر.jpg,50% , پور ,https://toplearn.com/masters/rezapour, 1:46:00 ," 105,000 "
 آموزش پکیج های کاربردی و مفید در فریم ورک لاراول ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%BE%DA%A9%DB%8C%D8%AC-%D9%87%D8%A7%DB%8C-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%DB%8C-%D9%88-%D9%85%D9%81%DB%8C%D8%AF-%D8%AF%D8%B1-%D9%81%D8%B1%DB%8C%D9%85-%D9%88%D8%B1%DA%A9-%D9%84%D8%A7%D8%B1%D8%A7%D9%88%D9%84,https://toplearn.com/img/course/400x286/آموزش_پکیج_های_کاربردی_و_مفید_در_فریم_ورک_لاراول.jpg,, عظیمی ,https://toplearn.com/masters/hoseinazimi, 2:17:00 ," 105,000 "
